,age,job,salary,balance,default,housing,loan,contact,day,month,duration,campaign,previous,poutcome,target,marital,education
140,34,self-employed,60000.0,3,no,yes,no,unknown,5,may,301,1,0,unknown,no,single,secondary
141,57,unemployed,8000.0,42,no,no,no,unknown,5,may,46,1,0,unknown,no,married,tertiary
142,37,blue-collar,20000.0,37,no,yes,no,unknown,5,may,204,1,0,unknown,no,married,secondary
143,59,blue-collar,20000.0,57,no,yes,no,unknown,5,may,98,1,0,unknown,no,married,secondary
144,33,services,70000.0,22,no,yes,no,unknown,5,may,71,1,0,unknown,no,married,secondary
145,56,blue-collar,20000.0,8,no,yes,no,unknown,5,may,157,2,0,unknown,no,divorced,primary
146,48,unemployed,8000.0,293,no,yes,no,unknown,5,may,243,1,0,unknown,no,married,secondary
147,43,services,70000.0,3,no,yes,no,unknown,5,may,186,2,0,unknown,no,married,primary
148,54,blue-collar,20000.0,348,no,yes,no,unknown,5,may,579,2,0,unknown,no,married,primary
149,51,blue-collar,20000.0,-19,no,yes,no,unknown,5,may,163,2,0,unknown,no,married,unknown
150,26,student,4000.0,0,no,yes,no,unknown,5,may,610,2,0,unknown,no,single,secondary
151,40,management,100000.0,-4,no,yes,no,unknown,5,may,2033,1,0,unknown,no,married,tertiary
152,39,management,100000.0,18,no,yes,no,unknown,5,may,85,1,0,unknown,no,married,secondary
153,50,technician,60000.0,139,no,no,no,unknown,5,may,114,2,0,unknown,no,married,primary
154,41,services,70000.0,0,no,yes,no,unknown,5,may,114,2,0,unknown,no,married,secondary
155,51,blue-collar,20000.0,1883,no,yes,no,unknown,5,may,57,1,0,unknown,no,married,unknown
156,60,retired,55000.0,216,no,yes,no,unknown,5,may,238,1,0,unknown,no,divorced,secondary
157,52,blue-collar,60000.0,782,no,yes,no,unknown,5,may,93,3,0,unknown,no,married,secondary
158,48,blue-collar,20000.0,904,no,yes,no,unknown,5,may,128,2,0,unknown,no,married,secondary
159,48,services,70000.0,1705,no,yes,no,unknown,5,may,107,1,0,unknown,no,married,unknown
160,39,technician,60000.0,47,no,yes,no,unknown,5,may,181,1,0,unknown,no,single,tertiary
161,47,services,70000.0,176,no,yes,no,unknown,5,may,303,2,0,unknown,no,single,secondary
162,40,blue-collar,20000.0,1225,no,yes,no,unknown,5,may,558,5,0,unknown,no,married,secondary
163,45,technician,60000.0,86,no,yes,no,unknown,5,may,270,1,0,unknown,no,married,secondary
164,26,admin.,50000.0,82,no,yes,no,unknown,5,may,228,1,0,unknown,no,single,secondary
165,52,management,100000.0,271,no,yes,no,unknown,5,may,99,1,0,unknown,no,married,tertiary
166,54,technician,60000.0,1378,no,yes,no,unknown,5,may,240,1,0,unknown,no,married,secondary
167,54,admin.,50000.0,184,no,no,no,unknown,5,may,673,2,0,unknown,yes,married,tertiary
168,50,blue-collar,60000.0,0,no,no,no,unknown,5,may,233,3,0,unknown,no,married,primary
169,35,blue-collar,20000.0,0,no,yes,no,unknown,5,may,1056,1,0,unknown,no,married,secondary
170,44,services,70000.0,1357,no,yes,yes,unknown,5,may,250,1,0,unknown,no,married,secondary
171,53,entrepreneur,120000.0,19,no,yes,no,unknown,5,may,252,1,0,unknown,no,married,unknown
172,35,retired,55000.0,434,no,no,no,unknown,5,may,138,1,0,unknown,no,single,primary
173,60,admin.,50000.0,92,no,yes,no,unknown,5,may,130,1,0,unknown,no,divorced,secondary
174,53,admin.,50000.0,1151,no,yes,no,unknown,5,may,412,1,0,unknown,no,divorced,secondary
175,48,unemployed,8000.0,41,no,yes,no,unknown,5,may,179,2,0,unknown,no,married,secondary
176,34,technician,60000.0,51,no,yes,no,unknown,5,may,19,2,0,unknown,no,married,secondary
177,54,services,70000.0,214,no,yes,no,unknown,5,may,458,2,0,unknown,no,married,secondary
178,51,management,100000.0,1161,no,yes,no,unknown,5,may,717,1,0,unknown,no,married,secondary
179,31,services,70000.0,37,no,yes,no,unknown,5,may,313,1,0,unknown,no,married,tertiary
180,35,technician,60000.0,787,no,yes,no,unknown,5,may,683,2,0,unknown,no,divorced,secondary
181,35,services,70000.0,59,no,yes,no,unknown,5,may,1077,1,0,unknown,no,married,secondary
182,38,technician,60000.0,253,no,yes,no,unknown,5,may,416,1,0,unknown,no,married,secondary
183,36,admin.,50000.0,211,no,yes,no,unknown,5,may,146,2,0,unknown,no,married,tertiary
184,58,retired,55000.0,235,no,yes,no,unknown,5,may,167,1,0,unknown,no,married,primary
185,40,services,70000.0,4384,no,yes,no,unknown,5,may,315,1,0,unknown,no,divorced,unknown
186,54,management,100000.0,4080,no,no,no,unknown,5,may,140,1,0,unknown,no,married,secondary
187,34,blue-collar,20000.0,53,no,yes,yes,unknown,5,may,346,1,0,unknown,no,single,secondary
188,31,management,100000.0,0,no,yes,no,unknown,5,may,562,1,0,unknown,no,single,tertiary
189,51,retired,55000.0,2127,no,yes,no,unknown,5,may,172,1,0,unknown,no,married,secondary
190,33,management,100000.0,377,no,yes,no,unknown,5,may,217,1,0,unknown,no,married,tertiary
191,55,management,100000.0,73,no,yes,no,unknown,5,may,142,2,0,unknown,no,married,tertiary
192,42,admin.,50000.0,445,no,yes,no,unknown,5,may,67,1,0,unknown,no,married,secondary
193,34,blue-collar,20000.0,243,no,yes,no,unknown,5,may,291,1,0,unknown,no,married,secondary
194,33,blue-collar,20000.0,307,no,yes,no,unknown,5,may,309,2,0,unknown,no,single,secondary
195,38,services,70000.0,155,no,yes,no,unknown,5,may,248,1,0,unknown,no,married,secondary
196,43,management,100000.0,400,no,yes,no,unknown,5,may,256,1,0,unknown,no,married,tertiary
197,61,blue-collar,20000.0,1428,no,yes,no,unknown,5,may,82,2,0,unknown,no,divorced,primary
198,47,admin.,50000.0,219,no,yes,no,unknown,5,may,577,1,0,unknown,no,married,secondary
199,48,self-employed,60000.0,7,no,yes,no,unknown,5,may,286,1,0,unknown,no,married,tertiary
200,44,blue-collar,20000.0,575,no,yes,no,unknown,5,may,477,1,0,unknown,no,married,secondary
201,35,student,60000.0,298,no,yes,no,unknown,5,may,611,2,0,unknown,no,single,unknown
202,35,services,70000.0,0,no,yes,no,unknown,5,may,471,1,0,unknown,no,married,secondary
203,50,services,70000.0,5699,no,yes,no,unknown,5,may,381,2,0,unknown,no,married,secondary
204,41,management,100000.0,176,no,yes,yes,unknown,5,may,42,1,0,unknown,no,married,tertiary
205,41,management,100000.0,517,no,yes,no,unknown,5,may,251,1,0,unknown,no,married,tertiary
206,39,services,70000.0,257,no,yes,no,unknown,5,may,408,1,0,unknown,no,single,unknown
207,42,retired,55000.0,56,no,yes,no,unknown,5,may,215,1,0,unknown,no,married,secondary
208,38,blue-collar,20000.0,-390,no,yes,no,unknown,5,may,287,1,0,unknown,no,married,secondary
209,53,retired,55000.0,330,no,yes,no,unknown,5,may,216,2,0,unknown,no,married,secondary
210,59,housemaid,16000.0,195,no,no,no,unknown,5,may,366,2,0,unknown,no,divorced,primary
211,36,services,70000.0,301,no,yes,no,unknown,5,may,210,1,0,unknown,no,married,secondary
212,54,blue-collar,20000.0,-41,no,yes,no,unknown,5,may,288,1,0,unknown,no,married,primary
213,40,technician,60000.0,483,no,yes,no,unknown,5,may,168,1,0,unknown,no,married,tertiary
214,47,unknown,60000.0,28,no,no,no,unknown,5,may,338,2,0,unknown,no,married,unknown
215,32,unemployed,8000.0,13,no,no,no,unknown,5,may,410,3,0,unknown,no,married,unknown
216,46,housemaid,16000.0,965,no,no,no,unknown,5,may,177,1,0,unknown,no,married,primary
217,39,management,100000.0,378,no,yes,yes,unknown,5,may,127,2,0,unknown,no,married,tertiary
218,40,unemployed,8000.0,219,no,yes,no,unknown,5,may,357,1,0,unknown,no,married,secondary
219,28,blue-collar,20000.0,324,no,yes,no,unknown,5,may,175,1,0,unknown,no,married,primary
220,35,entrepreneur,120000.0,-69,no,yes,no,unknown,5,may,300,1,0,unknown,no,divorced,secondary
221,55,retired,55000.0,0,no,no,yes,unknown,5,may,136,1,0,unknown,no,married,secondary
222,43,technician,60000.0,205,no,yes,no,unknown,5,may,1419,1,0,unknown,no,divorced,unknown
223,48,blue-collar,20000.0,278,no,yes,no,unknown,5,may,125,2,0,unknown,no,married,primary
224,58,management,100000.0,1065,no,yes,no,unknown,5,may,213,3,0,unknown,no,married,unknown
225,33,management,100000.0,34,no,yes,no,unknown,5,may,27,1,0,unknown,no,single,tertiary
226,36,blue-collar,20000.0,1033,no,no,no,unknown,5,may,238,2,0,unknown,no,married,unknown
227,53,services,70000.0,1467,no,yes,no,unknown,5,may,124,1,0,unknown,no,divorced,secondary
228,47,blue-collar,60000.0,-12,no,yes,no,unknown,5,may,18,1,0,unknown,no,married,primary
229,31,services,70000.0,388,no,yes,no,unknown,5,may,730,2,0,unknown,no,married,secondary
230,57,entrepreneur,120000.0,294,no,yes,no,unknown,5,may,746,2,0,unknown,no,married,secondary
231,53,blue-collar,20000.0,1827,no,no,no,unknown,5,may,121,1,0,unknown,no,married,unknown
232,55,blue-collar,20000.0,627,no,yes,no,unknown,5,may,247,1,0,unknown,no,married,primary
233,45,blue-collar,20000.0,25,no,yes,no,unknown,5,may,40,1,0,unknown,no,married,primary
234,53,admin.,50000.0,315,no,yes,no,unknown,5,may,181,2,0,unknown,no,divorced,secondary
235,37,blue-collar,20000.0,0,no,yes,no,unknown,5,may,79,1,0,unknown,no,married,primary
236,44,admin.,50000.0,66,no,yes,no,unknown,5,may,206,1,0,unknown,no,divorced,secondary
237,49,blue-collar,20000.0,-9,no,yes,yes,unknown,5,may,389,1,0,unknown,no,divorced,primary
238,46,technician,60000.0,349,no,yes,yes,unknown,5,may,127,1,0,unknown,no,married,secondary
239,43,entrepreneur,120000.0,100,no,yes,no,unknown,5,may,702,1,0,unknown,no,married,unknown
240,38,admin.,50000.0,0,no,no,no,unknown,5,may,151,1,0,unknown,no,married,secondary
241,43,technician,60000.0,434,no,yes,no,unknown,5,may,117,1,0,unknown,no,married,secondary
242,49,management,100000.0,3237,no,yes,no,unknown,5,may,232,3,0,unknown,no,married,tertiary
243,42,management,100000.0,275,no,no,no,unknown,5,may,408,2,0,unknown,no,married,unknown
244,22,blue-collar,20000.0,0,no,yes,no,unknown,5,may,179,2,0,unknown,no,single,secondary
245,40,management,100000.0,207,no,yes,no,unknown,5,may,39,1,0,unknown,no,married,tertiary
246,39,blue-collar,20000.0,483,no,yes,no,unknown,5,may,282,1,0,unknown,no,married,secondary
247,51,services,70000.0,2248,no,yes,no,unknown,5,may,714,2,0,unknown,no,married,secondary
248,49,admin.,50000.0,428,no,yes,no,unknown,5,may,50,1,0,unknown,no,married,secondary
249,53,blue-collar,20000.0,0,no,yes,yes,unknown,5,may,181,1,0,unknown,no,married,secondary
250,34,services,70000.0,0,no,yes,no,unknown,5,may,142,1,0,unknown,no,single,secondary
251,33,technician,60000.0,140,no,yes,no,unknown,5,may,227,1,0,unknown,no,divorced,secondary
252,50,management,100000.0,297,no,yes,no,unknown,5,may,119,1,0,unknown,no,single,tertiary
253,39,blue-collar,20000.0,279,no,yes,no,unknown,5,may,361,1,0,unknown,no,married,primary
254,59,entrepreneur,60000.0,901,no,yes,no,unknown,5,may,73,3,0,unknown,no,divorced,secondary
255,30,technician,60000.0,2573,no,yes,no,unknown,5,may,67,2,0,unknown,no,single,secondary
256,36,services,70000.0,143,no,yes,yes,unknown,5,may,350,1,0,unknown,no,married,secondary
257,40,blue-collar,20000.0,475,no,yes,no,unknown,5,may,332,2,0,unknown,no,married,secondary
258,53,blue-collar,20000.0,70,no,yes,no,unknown,5,may,611,2,0,unknown,no,married,secondary
259,34,management,100000.0,318,no,yes,no,unknown,5,may,113,2,0,unknown,no,single,tertiary
260,37,technician,60000.0,275,no,yes,no,unknown,5,may,132,1,0,unknown,no,married,secondary
261,42,management,100000.0,742,no,yes,no,unknown,5,may,58,3,0,unknown,no,divorced,tertiary
262,41,entrepreneur,120000.0,236,no,yes,no,unknown,5,may,151,1,0,unknown,no,married,primary
263,30,student,4000.0,25,no,yes,no,unknown,5,may,89,2,0,unknown,no,single,tertiary
264,37,management,100000.0,600,no,yes,no,unknown,5,may,152,1,0,unknown,no,single,tertiary
265,39,admin.,50000.0,-349,no,yes,no,unknown,5,may,611,2,0,unknown,no,divorced,secondary
266,41,blue-collar,20000.0,183,no,yes,yes,unknown,5,may,110,2,0,unknown,no,married,primary
267,40,blue-collar,20000.0,0,no,yes,no,unknown,5,may,463,1,0,unknown,no,married,primary
268,42,management,100000.0,0,no,yes,yes,unknown,5,may,562,2,0,unknown,yes,single,tertiary
269,40,blue-collar,20000.0,0,no,yes,no,unknown,5,may,962,1,0,unknown,no,divorced,primary
270,57,technician,60000.0,1078,no,yes,no,unknown,5,may,10,4,0,unknown,no,married,secondary
271,56,entrepreneur,120000.0,155,no,no,no,unknown,5,may,118,3,0,unknown,no,divorced,secondary
272,37,admin.,50000.0,190,no,yes,no,unknown,5,may,92,2,0,unknown,no,married,secondary
273,59,retired,55000.0,319,no,yes,no,unknown,5,may,143,3,0,unknown,no,married,secondary
274,39,services,70000.0,-185,no,yes,no,unknown,5,may,189,3,0,unknown,no,divorced,secondary
275,49,services,70000.0,47,no,no,no,unknown,5,may,234,2,0,unknown,no,married,secondary
276,38,services,70000.0,570,no,yes,no,unknown,5,may,75,2,0,unknown,no,single,secondary
277,36,self-employed,60000.0,19,no,no,no,unknown,5,may,189,2,0,unknown,no,married,tertiary
278,50,blue-collar,20000.0,61,no,yes,no,unknown,5,may,621,3,0,unknown,no,married,primary
279,41,admin.,50000.0,-62,no,yes,yes,unknown,5,may,55,2,0,unknown,no,married,secondary
280,54,technician,60000.0,258,no,no,no,unknown,5,may,310,4,0,unknown,no,married,tertiary
281,58,blue-collar,20000.0,76,no,yes,no,unknown,5,may,156,2,0,unknown,no,married,primary
282,30,blue-collar,20000.0,0,no,yes,no,unknown,5,may,5,2,0,unknown,no,single,secondary
283,33,admin.,50000.0,352,no,yes,no,unknown,5,may,225,2,0,unknown,no,single,secondary
284,47,admin.,50000.0,368,no,yes,no,unknown,5,may,125,2,0,unknown,no,married,secondary
285,50,technician,60000.0,339,no,yes,no,unknown,5,may,2,3,0,unknown,no,single,tertiary
286,32,blue-collar,20000.0,1331,no,yes,no,unknown,5,may,286,2,0,unknown,no,married,secondary
